Word,Definition,Part of Speech,Synonyms,Antonyms
account for,To be the explanation or cause of something,verb,"explain, justify","misaccount, misexplain"
accurate,Correct in all details; exact,adjective,"correct, precise","inaccurate, incorrect"
accurately,In a way that is correct in all details; exactly,adverb,"exactly, precisely","inaccurately, imprecisely"
accuse,Charge (someone) with an offense or crime,verb,"charge, indict","absolve, exonerate"
achieve,"Successfully reach (a desired objective or result) by effort, skill, or courage",verb,"succeed, accomplish","fail, forfeit"
achievement,"A thing done successfully, typically by effort, courage, or skill",noun,"accomplishment, success","failure, defeat"
acid,"A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind","noun, adjective","chemical, corrosive","alkaline, base"
acknowledge,Accept or admit the existence or truth of,verb,"admit, accept","deny, reject"
a couple,Two people or things of the same sort considered together,noun,"pair, duo","individual, single"
acquire,Buy or obtain (an asset or object) for oneself,verb,"obtain, get","lose, forfeit"
across,"From one side to the other of (a place, area, etc.)","preposition, adverb","over, through",none
act,Take action; do something,"verb, noun","perform, do","cease, stop"
action,"The fact or process of doing something, typically to achieve an aim",noun,"deed, operation","inaction, inactivity"
active,Engaging or ready to engage in physically energetic pursuits,adjective,"energetic, lively","inactive, lazy"
actively,In an active manner; energetically,adverb,"energetically, vigorously","inactively, lazily"
activity,The condition in which things are happening or being done,noun,"action, pursuit","inactivity, idleness"
actor,"A person whose profession is acting on the stage, in movies, or on television",noun,"performer, thespian",none
actress,A female actor,noun,female actor,male actor
actual,Existing in fact; real,adjective,"real, factual","fake, false"
actually,As the truth or facts of a situation; really,adverb,"really, truly","supposedly, seemingly"
ad,An advertisement,noun,"advertisement, commercial",none
adapt,Make (something) suitable for a new use or purpose; modify,verb,"modify, adjust","neglect, reject"
add,"Join (something) to something else so as to increase the size, number, or amount",verb,"append, attach","subtract, remove"
addition,The action or process of adding something to something else,noun,"insertion, inclusion","subtraction, removal"
additional,"Added, extra, or supplementary to what is already present or available",adjective,"extra, supplementary","basic, primary"
address,The particulars of the place where someone lives or an organization is situated,"noun, verb","location, place",none
add up,To calculate the total of two or more numbers or amounts,phrasal verb,"total, sum","subtract, take away"
add up to,To result in a total amount,phrasal verb,"amount to, come to","reduce, decrease"
adequate,Satisfactory or acceptable in quality or quantity,adjective,"sufficient, satisfactory","inadequate, insufficient"
adequately,In a satisfactory way,adverb,"sufficiently, suitably","insufficiently, poorly"
adjust,"Alter or move (something) slightly in order to achieve the desired fit, appearance, or result",verb,"modify, adapt","ignore, neglect"
admiration,Respect and warm approval,noun,"esteem, respect","disapproval, contempt"
admire,"Regard (an object, quality, or person) with respect or warm approval",verb,"respect, appreciate","despise, scorn"
admit,"Confess to be true or to be the case, typically with reluctance",verb,"confess, acknowledge","deny, reject"
adopt,Legally take (another's child) and bring it up as one's own,verb,"take in, foster","abandon, reject"
adult,A person who is fully grown or developed,"noun, adjective","grown-up, mature","child, juvenile"
advance,"Move forward, typically in a purposeful way","verb, noun, adjective","progress, proceed","retreat, withdraw"
advanced,Far on or ahead in development or progress,adjective,"sophisticated, developed","basic, simple"
advantage,A condition or circumstance that puts one in a favorable or superior position,"noun, verb","benefit, edge","disadvantage, drawback"
adventure,"An unusual and exciting, typically hazardous, experience or activity","noun, verb","escapade, journey","routine, safety"
advert,"A notice or announcement in a public medium promoting a product, service, or event","noun, verb","announcement, notice",none
advertise,"Describe or draw attention to (a product, service, or event) in a public medium to promote sales or attendance",verb,"promote, publicize","hide, conceal"
advertisement,"A notice or announcement in a public medium promoting a product, service, or event",noun,"ad, advert",none
advertising,The activity or profession of producing advertisements for commercial products or services,noun,"marketing, promotion",none
advice,Guidance or recommendations offered with regard to prudent future action,noun,"guidance, counsel","misguidance, misinformation"
advise,Offer suggestions about the best course of action to someone,verb,"recommend, counsel","misadvise, misguide"
affair,An event or sequence of events of a specified kind or that has previously been referred to,noun,"event, incident",none
affect,Have an effect on; make a difference to,verb,"influence, impact",none
affection,A gentle feeling of fondness or liking,noun,"fondness, love","hatred, dislike"
afford,Have enough money to pay for,verb,"manage, bear","forbid, deny"
afraid,Feeling fear or anxiety; frightened,adjective,"scared, fearful","brave, fearless"
after,In the time following (an event or another period of time),"preposition, conjunction, adverb","following, subsequent","before, prior"
afternoon,The time from noon or lunchtime to evening,noun,"lunchtime, midday","morning, night"
afterwards,At a later or future time,adverb,"later, subsequently","before, earlier"
again,Another time; once more,adverb,"repeatedly, once more","never, once"
against,In opposition to,preposition,"opposed to, contrary to","for, supporting"
age,The length of time that a person has lived or a thing has existed,noun,"years, duration","youth, infancy"
aged,Having lived for a specified length of time; old,adjective,"elderly, old","young, youthful"
agency,A business or organization providing a particular service,noun,"office, bureau","individual, freelancer"
agent,A person who acts on behalf of another person or group,noun,"representative, operative","principal, client"
aggressive,Ready or likely to attack or confront; characterized by or resulting from aggression,adjective,"hostile, belligerent","passive, peaceful"
ago,Before the present; earlier,adverb,"previously, earlier","later, future"
agree,Have the same opinion about something; concur,verb,"concur, assent","disagree, differ"
agreement,A negotiated and typically legally binding arrangement between parties,noun,"contract, deal","disagreement, dispute"
ahead,In or toward the front; in advance,adverb,"forward, in front","behind, back"
aid,"Help, typically of a practical nature","noun, verb","assistance, help","hindrance, obstruction"
aim,Point or direct (a weapon or camera) at a target,"verb, noun","target, goal","neglect, ignore"
air,"The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen",noun,"atmosphere, breeze",none
aircraft,A vehicle that is able to fly by gaining support from the air,noun,"plane, jet",none
airport,"A complex of runways and buildings for the takeoff, landing, and maintenance of civil aircraft",noun,"airfield, aerodrome",none
alarm,An anxious awareness of danger,"noun, verb","warning, alert","calm, composure"
alarmed,Experiencing a sudden sense of danger,adjective,"frightened, scared","unconcerned, calm"
alarming,Worrying or disturbing,adjective,"disturbing, frightening","reassuring, comforting"
alcohol,"A colorless volatile flammable liquid which is the intoxicating constituent of wine, beer, spirits, and other drinks",noun,"ethanol, drink",none
alcoholic,Containing or relating to alcoholic liquor,"adjective, noun","inebriate, lush",non-alcoholic
alive,"Living, not dead",adjective,"living, breathing","dead, lifeless"
all,Used to refer to the whole quantity or extent of a particular group or thing,"determiner, pronoun, adverb","every, entire","none, nothing"
allied,Joined by or relating to members of an alliance,adjective,"united, affiliated","enemy, adversary"
allow,Give (someone) permission to do something,verb,"permit, let","forbid, prevent"
allow for,Take into consideration when making plans or calculations,phrasal verb,"consider, account for","ignore, disregard"
all right,Satisfactory but not especially good,"adverb, adjective","okay, fine","bad, poor"
ally,A state formally cooperating with another for a military or other purpose,noun,"partner, supporter","enemy, opponent"
almost,Very nearly but not exactly or entirely,adverb,"nearly, about","exactly, completely"
alone,Having no one else present; on one's own,"adjective, adverb","solitary, single","together, accompanied"
along,Moving in a constant direction on (a path or any more or less horizontal surface),"preposition, adverb","beside, alongside",none
alongside,Close to the side of; next to,"preposition, adverb","next to, beside","away from, far from"
aloud,Audibly; not silently or in a whisper,adverb,"audibly, loudly","silently, quietly"
alphabet,A set of letters or symbols in a fixed order used for writing a language,noun,"letters, characters",none
alphabetical,Arranged in the order of the letters of the alphabet,adjective,none,none
alphabetically,In alphabetical order,adverb,none,none
already,Before or by now or the time in question,adverb,"by now, before","not yet, never"
also,In addition; too,adverb,"too, as well","neither, nor"
alter,Change or cause to change in character or composition,verb,"change, modify","keep, maintain"
alternative,Available as another possibility or choice,"noun, adjective","option, choice",none
alternatively,As another option or possibility,adverb,"optionally, otherwise",none
although,In spite of the fact that; even though,conjunction,"though, even though",none
altogether,Completely; totally,adverb,"completely, entirely","partially, incompletely"
always,At all times; on all occasions,adverb,"constantly, forever","never, sometimes"
a.m.,Before noon,abbreviation,"morning, ante meridiem","p.m., afternoon"
amaze,Surprise (someone) greatly; fill with astonishment,verb,"astonish, astound","bore, disinterest"
amazed,Greatly surprised; astonished,adjective,"astonished, astounded","indifferent, unsurprised"
amazing,Causing great surprise or wonder; astonishing,adjective,"astonishing, astounding","ordinary, unremarkable"
ambition,A strong desire to do or achieve something,noun,"aspiration, goal","indifference, laziness"
ambulance,A vehicle specially equipped for taking sick or injured people to and from the hospital,noun,"emergency vehicle, medical vehicle",none
among,Situated more or less centrally in relation to (several other things),preposition,"amid, amidst","outside, separate"
amount,A quantity of something,noun,"quantity, sum",none
amount to,To total; to result in a final amount,phrasal verb,"total, come to",none
amuse,Cause (someone) to find something funny; entertain,verb,"entertain, delight","bore, tire"
amused,Finding something funny or entertaining,adjective,"entertained, delighted","bored, uninterested"
amusing,Causing laughter or providing entertainment,adjective,"funny, entertaining","boring, dull"
analyse,Examine methodically and in detail the constitution or structure of (something),verb,"examine, study","ignore, overlook"
analysis,Detailed examination of the elements or structure of something,noun,"examination, study",none
ancient,Belonging to the very distant past and no longer in existence,adjective,"old, historic","modern, new"
and,"Used to connect words of the same part of speech, clauses, or sentences",conjunction,"plus, together with",none
anger,"A strong feeling of annoyance, displeasure, or hostility",noun,"rage, fury","calm, peace"
angle,The space (usually measured in degrees) between two intersecting lines or surfaces at or close to the point where they meet,noun,"inclination, slant",none
angrily,In a manner resulting from or betraying anger,adverb,"furiously, irritably","calmly, gently"
angry,"Feeling or showing strong annoyance, displeasure, or hostility",adjective,"mad, furious","calm, happy"
animal,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous system and able to respond rapidly to stimuli",noun,"creature, beast",none
ankle,The joint connecting the foot with the leg,noun,"joint, hinge",none
anniversary,The date on which an event took place in a previous year,noun,"celebration, commemoration",none
announce,"Make a public and typically formal declaration about a fact, occurrence, or intention",verb,"declare, proclaim","conceal, hide"
annoy,Make (someone) a little angry; irritate,verb,"irritate, vex","delight, please"
annoyed,Slightly angry; irritated,adjective,"irritated, vexed","pleased, content"
annoying,Causing irritation or annoyance,adjective,"irritating, vexing","pleasing, delightful"
annual,Occurring once every year,adjective,"yearly, per annum",none
annually,Once a year; every year,adverb,"yearly, each year",none
another,Used to refer to an additional person or thing of the same type as one already mentioned or known,"determiner, pronoun","additional, one more","same, identical"
answer,"A thing said, written, or done to deal with or as a reaction to a question, statement, or situation","noun, verb","reply, respond","question, query"
anti-,Opposed to; against,prefix,"against, opposing",pro-
anticipate,Regard as probable; expect or predict,verb,"expect, foresee",none
anxiety,"A feeling of worry, nervousness, or unease about something with an uncertain outcome",noun,"worry, concern","calm, confidence"
anxious,"Experiencing worry, unease, or nervousness",adjective,"worried, uneasy","calm, relaxed"
anxiously,In a manner resulting from or revealing anxiety,adverb,"nervously, worriedly","calmly, confidently"
any,"Used to refer to one or some of a thing or number of things, no matter how much or many","determiner, pronoun, adverb","some, any",none
anybody,Any person; anyone,pronoun,"anyone, everyone","nobody, no one"
anyone,Any person; anybody,pronoun,"anybody, everyone","nobody, no one"
anything,"Used to refer to a thing, no matter what",pronoun,"something, whatever","nothing, none"
anyway,Used to confirm or support a point or idea just mentioned,adverb,"nonetheless, nevertheless",none
anywhere,In or to any place,adverb,"everywhere, wherever",nowhere
apart,To one side; at a distance from the main body,"adverb, adjective","separately, aside","together, joined"
apart from,Except for; other than,preposition,"except, besides","including, with"
apartment,"A set of rooms forming an individual residence, typically on one floor and within a larger building",noun,"flat, condo","house, villa"
apologize,Express regret for something that one has done wrong,verb,"say sorry, express regret",none
apparent,Clearly visible or understood; obvious,adjective,"obvious, evident","hidden, unclear"
apparently,As far as one knows or can see,adverb,"seemingly, evidently",none
appeal,"Make a serious or urgent request, typically to the public","noun, verb","plea, request",none
appear,Come into sight; become visible or noticeable,verb,"show, emerge","disappear, vanish"
appearance,The way that someone or something looks,noun,"look, aspect","disappearance, absence"
apple,"The round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh",noun,fruit,none
application,A formal request to an authority for something,noun,"request, petition",none
apply,Make a formal application or request,verb,"petition, request",none
appoint,Assign a job or role to (someone),verb,"assign, designate","dismiss, remove"
appointment,An arrangement to meet someone at a particular time and place,noun,"meeting, date","cancellation, refusal"
appreciate,Recognize the full worth of,verb,"value, respect","disregard, ignore"
approach,Come near or nearer to (someone or something) in distance,"verb, noun","move towards, come near","retreat, withdraw"
appropriate,Suitable or proper in the circumstances,adjective,"suitable, proper","inappropriate, unsuitable"
approval,The action of officially agreeing to something or accepting something as satisfactory,noun,"acceptance, consent","disapproval, rejection"
approve,Officially agree to or accept as satisfactory,verb,"accept, agree","reject, disapprove"
approving,Showing or feeling approval of someone or something,adjective,"supportive, favorable",disapproving
approximate,"Close to the actual, but not completely accurate or exact",adjective,"near, close","exact, precise"
approximately,"Used to show that something is almost, but not completely, accurate or exact",adverb,"roughly, about","exactly, precisely"
April,"The fourth month of the year, in the northern hemisphere usually considered the second month of spring",noun,none,none
area,"A region or part of a town, a country, or the world",noun,"region, zone",none
argue,"Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view",verb,"dispute, debate","agree, concur"
argument,"An exchange of diverging or opposite views, typically a heated or angry one",noun,"dispute, quarrel","agreement, harmony"
arise,Emerge; become apparent,verb,"emerge, occur","settle, resolve"
arm,Each of the two upper limbs of the human body from the shoulder to the hand,noun,limb,none
armed,Equipped with or carrying weapons,adjective,weaponized,unarmed
arms,Weapons and ammunition,noun,"weapons, munitions",none
army,An organized military force equipped for fighting on land,noun,"military, troops",none
around,Located or situated on every side,"adverb, preposition","about, approximately",none
arrange,"Put (things) in a neat, attractive, or required order",verb,"organize, sort","disorganize, disrupt"
arrangement,"The action, process, or result of arranging or being arranged",noun,"order, organization","disorder, confusion"
arrest,Seize (someone) by legal authority and take into custody,verb,"detain, capture","release, free"
arrival,The action or process of arriving,noun,"coming, approach","departure, leaving"
arrive,Reach a place at the end of a journey or a stage in a journey,verb,"reach, get to","leave, depart"
arrive at,To reach a particular place,phrasal verb,"reach, get to","leave, depart"
arrow,"A weapon consisting of a thin, straight stick with a sharp point, designed to be shot from a bow",noun,"shaft, dart",none
art,"The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture",noun,"craft, creativity",none
article,"A particular item or object, typically one of a specified type",noun,"item, object",none
artificial,"Made or produced by human beings rather than occurring naturally, typically as a copy of something natural",adjective,"synthetic, fake","natural, real"
artificially,By means of human intervention rather than naturally,adverb,unnaturally,naturally
artist,A person who creates art,noun,"creator, painter",none
artistic,Having or revealing natural creative skill,adjective,"creative, imaginative","unartistic, uncreative"
artistically,In a way that relates to art or artists,adverb,"creatively, aesthetically",unartistically
as,Used to indicate that something happens during the time when something else is taking place,"conjunction, preposition","while, during",none
ashamed,"Embarrassed or guilty because of one's actions, characteristics, or associations",adjective,"embarrassed, guilty","proud, unashamed"
aside,To one side; out of the way,"adverb, noun","away, to the side","center, middle"
aside from,Except for; apart from,preposition,"except, apart from","including, with"
ask,Say something in order to obtain an answer or some information,verb,"inquire, question","answer, reply"
asleep,In a state of sleep,adjective,"sleeping, dormant","awake, alert"
aspect,A particular part or feature of something,noun,"feature, facet","whole, entirety"
assist,Give help or support to,verb,"help, support","hinder, obstruct"
assistance,The action of helping someone with a job or task,noun,"aid, help","hindrance, obstruction"
assistant,A person who ranks below a senior person,noun,"aide, helper","boss, superior"
associate,Connect (someone or something) with something else in one's mind,"verb, noun","connect, link","separate, dissociate"
associated,Connected with something else,adjective,"connected, related","unrelated, separate"
association,A group of people organized for a joint purpose,noun,"organization, group","disassociation, separation"
assume,"Suppose to be the case, without proof",verb,"presume, suppose","doubt, question"
assure,Tell someone something positively to dispel any doubts,verb,"reassure, convince","doubt, dissuade"
at,Expressing location or arrival in a particular place or position,preposition,"in, on",away from
atmosphere,The envelope of gases surrounding the earth or another planet,noun,"air, ambiance",vacuum
atom,The basic unit of a chemical element,noun,particle,none
attach,Fasten; join,verb,"affix, join","detach, remove"
attached,"Joined, fastened, or connected to something",adjective,"connected, linked","detached, separated"
attack,Take aggressive action against (a place or enemy forces) with weapons or armed force,"verb, noun","assault, strike","defend, protect"
attempt,"Make an effort to achieve or complete (something, typically a difficult task or action)","verb, noun","try, endeavor","give up, quit"
attempted,Tried to do (something),adjective,tried,succeeded
attend,"Be present at (an event, meeting, or function)",verb,"participate, join","miss, avoid"
attend to,Deal with,phrasal verb,"care for, deal with","ignore, neglect"
attention,Notice taken of someone or something,noun,"notice, awareness","inattention, disregard"
attitude,A settled way of thinking or feeling about someone or something,noun,"view, outlook","disinterest, indifference"
attorney,A person appointed to act for another in business or legal matters,noun,"lawyer, counsel","client, defendant"
attract,"Cause to come to a place or participate in a venture by offering something of interest, favorable conditions, or opportunities",verb,"draw, allure","repel, deter"
attraction,"The action or power of evoking interest, pleasure, or liking for someone or something",noun,"appeal, allure","repulsion, repulsiveness"
attractive,Pleasing or appealing to the senses,adjective,"appealing, charming","unattractive, repellent"
audience,The assembled spectators or listeners at a public event,noun,"spectators, viewers",none
August,The eighth month of the year,noun,none,none
aunt,The sister of one's father or mother or the wife of one's uncle,noun,none,none
author,"A writer of a book, article, or report",noun,"writer, creator",none
authority,"The power or right to give orders, make decisions, and enforce obedience",noun,"control, command","powerlessness, weakness"
automatic,Working by itself with little or no direct human control,adjective,"self-operating, mechanized","manual, non-automatic"
automatically,Without conscious thought or intention,adverb,"involuntarily, instinctively","deliberately, intentionally"
autumn,"The season between summer and winter, when leaves fall from trees",noun,fall,spring
available,Able to be used or obtained; at someone's disposal,adjective,"accessible, obtainable","unavailable, scarce"
average,A number expressing the central or typical value in a set of data,"noun, adjective","mean, median","extreme, exceptional"
avoid,Keep away from or stop oneself from doing (something),verb,"evade, dodge","confront, face"
awake,Not asleep,adjective,"alert, conscious","asleep, unconscious"
award,"Give or order the giving of (something) as an official payment, compensation, or prize to (someone)","noun, verb","prize, reward","penalty, punishment"
aware,Having knowledge or perception of a situation or fact,adjective,"conscious, mindful","unaware, ignorant"
away,"To or at a distance from a particular place, person, or thing","adverb, adjective","distant, apart","near, close"
awful,Very bad or unpleasant,adjective,"terrible, dreadful","pleasant, nice"
awfully,Very; extremely,adverb,"extremely, very","slightly, a little"
awkward,Causing difficulty; hard to deal with,adjective,"clumsy, uncomfortable","graceful, smooth"
awkwardly,In an awkward manner,adverb,"clumsily, uncomfortably","gracefully, smoothly"
baby,"A very young child, especially one newly or recently born",noun,"infant, newborn","adult, grown-up"
back,The rear surface of the human body from the shoulders to the hips,"noun, adjective, adverb, verb","spine, rear","front, forward"
background,The part of a scene (or picture) that lies behind objects in the foreground,noun,"setting, context","foreground, foreground"
back up,To support or help,phrasal verb,"support, assist","oppose, hinder"
backward,Directed behind or to the rear,"adjective, adverb","reverse, rearward","forward, ahead"
backwards,In the opposite direction from the one that you are facing or opposite to the usual direction,adverb,"in reverse, rearward","forward, ahead"
bacteria,"Microscopic living organisms, usually one-celled, that can be found everywhere",noun,"germs, microbes",none
bad,Of poor quality or a low standard,adjective,"poor, substandard","good, excellent"
badly,"In an unsatisfactory, inadequate, or unsuccessful way",adverb,"poorly, inadequately","well, successfully"
bad-tempered,Easily annoyed or made angry,adjective,"grumpy, irritable","cheerful, good-natured"
bag,"A container made of flexible material with an opening at the top, used for carrying things","noun, verb","sack, pouch",none
baggage,Personal belongings packed in suitcases for traveling; luggage,noun,"luggage, suitcases",none
bake,"Cook (food) by dry heat without direct exposure to a flame, typically in an oven","verb, noun","roast, cook",none
balance,An even distribution of weight enabling someone or something to remain upright and steady,"noun, verb","stability, equilibrium","imbalance, instability"
ball,"A solid or hollow spherical or egg-shaped object that is kicked, thrown, or hit in a game",noun,"sphere, orb",none
ban,Officially or legally prohibit (something),"verb, noun","prohibit, forbid","allow, permit"
band,"A flat, thin strip or loop of material put around something, typically to hold it together or to decorate it","noun, verb","strip, ribbon",none
bandage,A strip of material used to bind a wound or to protect an injured part of the body,"noun, verb","dressing, compress",none
bank,The land alongside or sloping down to a river or lake,"noun, verb","shore, edge",none
bar,"A long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon","noun, verb","rod, barrier",none
bargain,An agreement between two or more parties as to what each party will do for the other,"noun, verb","deal, agreement",rip-off
barrier,A fence or other obstacle that prevents movement or access,noun,"obstacle, hurdle","access, entry"
base,"The lowest part or edge of something, especially the part on which it rests or is supported","noun, verb","foundation, bottom","top, peak"
based,Having a specified foundation or basis,adjective,"founded, established",unfounded
base on,Use as a point from which (something) can develop,phrasal verb,"ground on, build on",none
basic,Forming an essential foundation or starting point; fundamental,adjective,"fundamental, essential","advanced, complex"
basically,In the most essential respects; fundamentally,adverb,"essentially, fundamentally",superficially
basis,"The underlying support or foundation for an idea, argument, or process",noun,"foundation, base",none
bath,"A large container for water, used for immersing and washing the body","noun, verb","bathtub, wash",shower
bathroom,A room containing a toilet and sink and typically also a bathtub or shower,noun,"restroom, lavatory",none
battery,"A container consisting of one or more cells, in which chemical energy is converted into electricity and used as a source of power",noun,"cell, power source",none
battle,A sustained fight between large organized armed forces,"noun, verb","combat, fight","peace, truce"
bay,A broad inlet of the sea where the land curves inward,noun,"inlet, cove","cape, promontory"
be,Exist,verb,"exist, live","cease, stop"
beach,"A pebbly or sandy shore, especially by the sea between high- and low-water marks",noun,"shore, seaside",none
beak,"The horny projecting jaw of birds, typically pointed and curved",noun,"bill, snout",none
bear,Endure (an ordeal or difficulty),verb,"endure, tolerate","surrender, avoid"
beard,A growth of hair on the chin and lower cheeks of a man's face,"noun, verb","facial hair, whiskers",none
beat,"Strike (a person or an animal) repeatedly and violently so as to hurt or injure them, typically with the fists or a blunt implement","verb, noun","strike, hit","caress, soothe"
beat up,To attack and hit someone repeatedly,phrasal verb,"assault, attack","comfort, soothe"
beautiful,Pleasing the senses or mind aesthetically,adjective,"gorgeous, lovely","ugly, unattractive"
beautifully,In a way that pleases the senses or mind aesthetically,adverb,"elegantly, gracefully","ugly, unattractively"
beauty,"A combination of qualities, such as shape, color, or form, that pleases the aesthetic senses, especially the sight",noun,"attractiveness, loveliness","ugliness, unattractiveness"
because,For the reason that; since,conjunction,"since, as",despite
because of,Due to; as a result of,preposition,"due to, owing to",none
become,Begin to be,verb,"grow into, develop",none
bed,"A piece of furniture for sleep or rest, typically a framework with a mattress",noun,"sleeping place, cot",none
bedroom,A room furnished with a bed and intended primarily for sleeping,noun,"sleeping room, chamber",none
beef,"The flesh of a cow, bull, or ox, used as food",noun,"meat, steak",none
beer,An alcoholic drink made from yeast-fermented malt flavored with hops,noun,"ale, brew",none
before,"During the period of time preceding (a particular event, date, or time)","preposition, conjunction, adverb","prior to, in advance of","after, following"
begin,Start; perform or undergo the first part of (an action or activity),verb,"start, commence","end, finish"
beginning,The point in time or space at which something starts,noun,"start, onset","end, conclusion"
behalf,"In the interests of a person, group, or principle",noun,"for, representing",none
behave,"Act or conduct oneself in a specified way, especially toward others",verb,"act, conduct oneself","misbehave, misconduct"
behavior,"The way in which one acts or conducts oneself, especially toward others",noun,"conduct, actions",misconduct
behind,"At or to the far side of (something), typically so as to be hidden by it","preposition, adverb","at the back of, beyond","in front of, ahead of"
be left over,To remain after the rest has been used or dealt with,phrasal verb,"remain, stay",none
belief,An acceptance that a statement is true or that something exists,noun,"faith, conviction","disbelief, doubt"
believe,Accept (something) as true; feel sure of the truth of,verb,"trust, accept","doubt, disbelieve"
believe in,Have faith in the truth or existence of,phrasal verb,"have faith in, trust",disbelieve
bell,A device that makes a ringing sound and is used to give a signal or warning,noun,"chime, buzzer",none
belong,Be the property of,verb,be owned by,none
belong to,Be the property of (someone),phrasal verb,be possessed by,none
below,At a lower level or layer than,"preposition, adverb","under, beneath","above, over"
belt,A strip of leather or other material worn around the waist to support or hold in clothes or to carry weapons,noun,"girdle, sash",none
bend,Shape or force (something straight) into a curve or angle,"verb, noun","curve, flex","straighten, unbend"
beneath,"Extending or directly underneath, typically with close contact","preposition, adverb","under, underneath","above, over"
benefit,An advantage or profit gained from something,"noun, verb","advantage, gain","disadvantage, harm"
bent,Sharply curved or having an angle,"adjective, noun","curved, angled","straight, unbent"
beside,At the side of; next to,preposition,"next to, alongside",away from
best,"Of the most excellent, effective, or desirable type or quality","adjective, adverb, noun","finest, greatest","worst, poorest"
bet,Risk (a sum of money or valued item) against someone else's on the basis of the outcome of an unpredictable event such as a race or game,"verb, noun","wager, gamble",none
better,Of a more excellent or effective type or quality,"adjective, adverb, noun","superior, improved","worse, inferior"
betting,The act of risking a sum of money on the outcome of an event,noun,"gambling, wagering",none
between,"At, into, or across the space separating (two objects or regions)",preposition,"in the middle of, among","outside, beyond"
beyond,At or to the further side of,preposition,"past, further than","within, inside"
bicycle,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel","noun, verb","bike, cycle",none
bid 1,"Offer (a certain price) for something, especially at an auction","verb, noun","offer, tender","withdraw, retract"
big,"Of considerable size, extent, or intensity",adjective,"large, huge","small, tiny"
bike,A bicycle or motorcycle,"noun, verb","bicycle, motorcycle",none
bill,A printed or written statement of the money owed for goods or services,noun,"invoice, statement",none
billion,"The number equivalent to the product of a thousand and a million; 1,000,000,000","noun, number",none,none
bin,A container for storing or holding items,"noun, verb","container, receptacle",none
biology,The study of living organisms,noun,"life science, natural science",none
bird,"A warm-blooded egg-laying vertebrate distinguished by feathers, wings, and a beak",noun,"avian, fowl",none
birth,The emergence of a baby or other young from the body of its mother,noun,"nativity, delivery","death, demise"
birthday,The anniversary of the day on which a person was born,noun,"anniversary, natal day",none
biscuit,"A small baked unleavened cake, typically crisp, flat, and sweet",noun,"cookie, cracker",none
bit,"A small piece, part, or quantity of something",noun,"piece, fragment","whole, lot"
bite,Use the teeth to cut into something,"verb, noun","chew, nip",none
bitter,"Having a sharp, pungent taste or smell; not sweet",adjective,"sharp, sour","sweet, mild"
bitterly,"In an angry, hurt, or resentful manner",adverb,"resentfully, angrily","pleasantly, happily"
